match_id,account_id,hero_id,player_slot,gold,gold_spent,gold_per_min,xp_per_min,kills,deaths,assists,denies,last_hits,stuns,hero_damage,hero_healing,tower_damage,item_0,item_1,item_2,item_3,item_4,item_5,level
92,522,97,130,3229,17850,532,716,10,2,14,5,158,60.7026,11632,0,1422,48,102,1,235,133,152,22
92,523,85,131,2218,11785,395,387,8,8,15,0,69,0,6274,3094,421,108,36,0,46,231,216,16
92,524,86,132,1549,8355,280,300,0,7,9,4,46,28.74,3744,600,409,46,214,0,102,34,100,14
93,525,15,0,315,9615,303,355,2,11,5,5,146,0,11507,0,164,41,63,242,170,46,36,17
93,526,26,1,459,8700,251,291,7,11,3,0,17,52.9998,5793,1281,36,1,79,214,0,60,0,15
93,527,28,2,47,14625,370,382,2,8,7,32,189,88.9939,6099,0,41,11,63,152,1,135,21,17
93,528,54,3,1156,19390,519,625,9,5,6,7,219,1.50257,15383,561,587,50,154,112,135,46,65,22
93,529,84,4,266,6085,170,158,1,8,5,0,20,20.3947,3849,0,19,102,180,46,42,40,0,11
93,530,72,128,5253,21120,625,639,17,6,15,4,241,10.3856,21640,0,4977,50,212,154,164,135,133,23
93,0,7,129,3114,12005,357,381,8,4,14,0,46,58.5088,8953,0,367,180,1,119,46,102,0,17
93,531,74,130,3872,12820,385,471,4,4,19,4,92,57.4518,10190,0,1679,108,77,63,129,46,100,19
93,532,110,131,2055,12065,328,373,4,3,14,7,71,4.59888,9324,304,452,214,0,206,0,30,114,17
93,533,73,132,4076,28050,772,679,9,5,20,4,286,47.455,17413,0,4623,147,143,112,48,137,235,23
94,0,39,0,2876,15870,439,673,12,8,15,8,98,0,18587,0,186,116,41,63,0,108,24,22
94,534,63,1,946,15560,449,607,12,9,5,5,144,0,14108,0,727,75,123,116,168,63,0,21
94,0,30,2,697,7870,258,247,10,15,12,3,45,73.8147,9145,1308,113,46,180,254,40,60,21,13
94,535,26,3,511,5720,192,257,2,16,12,2,21,46.4787,5706,149,152,79,0,214,77,0,46,14
94,536,73,4,3130,20585,643,554,3,10,18,5,288,26.3374,7148,0,817,48,116,143,112,137,0,20
94,40,93,128,1491,25050,605,739,17,3,11,11,185,11.7075,20356,0,4023,116,143,152,63,52,160,24
94,537,16,129,5,13970,374,337,6,12,16,0,70,56.1276,8792,139,458,1,190,40,81,180,90,16
94,538,25,130,734,14200,374,338,7,9,9,0,69,35.7332,6762,0,1723,254,180,108,46,100,0,16
