item_id,time,player_slot,match_id
42,1813,0,6
218,1846,0,6
43,1846,0,6
229,1999,0,6
32,1999,0,6
48,2101,0,6
40,2106,0,6
17,1946,1,6
7,1946,1,6
143,1946,1,6
54,1956,1,6
208,1995,1,6
29,2100,1,6
48,2100,1,6
24,1822,2,6
147,1908,2,6
46,2068,2,6
22,2073,2,6
19,2073,2,6
174,2073,2,6
196,2080,2,6
46,1973,3,6
37,1841,4,6
46,1842,4,6
215,1847,4,6
46,1865,4,6
46,1977,4,6
5,2009,4,6
152,2065,4,6
42,1813,128,6
46,1938,128,6
37,1941,128,6
3,1822,129,6
55,1940,129,6
46,1967,129,6
158,2011,129,6
46,2084,129,6
46,1810,130,6
52,1944,132,6
48,1923,0,7
202,2073,0,7
203,2073,0,7
204,2214,0,7
24,1835,1,7
160,1835,1,7
21,1897,1,7
46,1968,1,7
8,2191,1,7
116,2287,1,7
23,2055,2,7
21,2056,2,7
22,2056,2,7
46,2057,2,7
108,2112,2,7
61,2219,2,7
60,1952,3,7
53,1987,3,7
46,2110,3,7
46,2112,3,7
61,2324,3,7
114,2326,3,7
21,1809,4,7
23,1918,4,7
22,2024,4,7
108,2052,4,7
40,2157,4,7
40,2162,4,7
116,1891,128,7
51,2221,128,7
43,1898,129,7
218,1899,129,7
42,1899,129,7
116,2073,129,7
17,2000,130,7
46,2003,130,7
25,2063,130,7
63,2092,130,7
46,1877,131,7
8,1969,131,7
168,2026,131,7
8,2071,131,7
21,2093,131,7
116,2157,131,7
46,2189,131,7
20,1806,132,7
15,1806,132,7
77,1806,132,7
21,1840,0,8
116,1844,0,8
1,1839,1,8
21,1841,4,8
22,1842,4,8
60,1851,4,8
55,1801,128,8
4,1885,128,8
22,1993,129,8
18,1993,129,8
170,1994,129,8
51,1822,130,8
141,1868,130,8
55,1816,131,8
4,1818,131,8
24,1818,132,8
123,1886,132,8
108,2078,0,9
22,2078,0,9
48,2426,0,9
3,2742,0,9
2,2742,0,9
149,2742,0,9
46,2108,1,9
21,2454,1,9
116,1997,2,9
46,2102,2,9
17,2174,2,9
7,2184,2,9
17,2286,2,9
143,2746,2,9
8,2883,2,9
8,2935,2,9
168,2959,2,9
56,2287,3,9
31,2287,3,9
27,2287,3,9
131,2287,3,9
27,2332,3,9
16,2332,3,9
94,2332,3,9
90,2823,3,9
43,2835,3,9
46,1808,4,9
10,2157,4,9
28,2168,4,9
67,2232,4,9
19,2232,4,9
98,2440,4,9
61,2702,4,9
59,2702,4,9
129,2702,4,9
60,2702,4,9
181,1984,128,9
24,2074,128,9
160,2149,128,9
60,2149,128,9
46,2157,128,9
137,2610,128,9
54,2610,128,9
22,1951,129,9
108,2096,129,9
42,2108,129,9
37,2269,129,9
176,2514,129,9
52,2514,129,9
23,2718,129,9
20,2719,129,9
15,2719,129,9
77,2719,129,9
104,2862,129,9
98,1901,130,9
51,2078,130,9
7,2206,130,9
7,2577,130,9
135,2667,130,9
3,2719,130,9
2,2719,130,9
149,2978,130,9
24,1966,131,9
147,2013,131,9
53,2096,131,9
156,2119,131,9
46,2124,131,9
32,2250,131,9
52,2471,131,9
10,2473,131,9
29,2493,131,9
139,2511,131,9
25,2686,131,9
17,2686,131,9
63,2735,131,9
21,2790,131,9
162,2843,131,9
17,2843,131,9
249,2935,131,9
60,1814,132,9
46,2006,132,9
21,2034,132,9
46,2176,132,9
23,2245,132,9
46,2370,132,9
46,2477,132,9
22,2556,132,9
108,2683,132,9
61,2739,132,9
46,2791,132,9
46,1932,0,11
52,2125,0,11
32,2221,0,11
10,2278,0,11
139,2287,0,11
55,2474,0,11
158,2488,0,11
46,2497,0,11
55,2643,0,11
55,3070,0,11
247,3079,0,11
8,1985,1,11
116,2054,1,11
55,2205,1,11
188,2367,1,11
9,2472,1,11
4,2728,1,11
112,2755,1,11
39,2844,1,11
46,2846,1,11
1,3133,1,11
1,1838,2,11
3,2171,2,11
4,2172,2,11
19,2310,2,11
127,2316,2,11
60,2555,2,11
23,2638,2,11
21,2639,2,11
22,3038,2,11
108,3060,2,11
43,3110,2,11
181,1985,3,11
24,2050,3,11
60,2050,3,11
160,2063,3,11
21,2203,3,11
17,2203,3,11
162,2203,3,11
249,2306,3,11
46,2468,3,11
21,2835,3,11
8,2835,3,11
116,2835,3,11
7,3120,3,11
7,3220,3,11
51,3243,3,11
135,3254,3,11
43,1867,4,11
56,1874,4,11
31,1875,4,11
27,1877,4,11
42,1896,4,11
27,1977,4,11
27,1979,4,11
94,2053,4,11
16,2053,4,11
42,2100,4,11
131,2164,4,11
90,2164,4,11
43,2272,4,11
218,2310,4,11
42,2310,4,11
188,2504,4,11
42,2545,4,11
43,2610,4,11
218,2612,4,11
42,2612,4,11
218,2613,4,11
43,2613,4,11
40,2818,4,11
42,3032,4,11
42,3033,4,11
218,3033,4,11
43,3033,4,11
123,1865,128,11
42,1870,128,11
218,2098,128,11
43,2098,128,11
60,2205,128,11
21,2349,128,11
46,2502,128,11
23,2503,128,11
22,2615,128,11
108,2631,128,11
42,2841,128,11
43,3044,128,11
218,3047,128,11
42,3047,128,11
40,3249,128,11
23,1850,129,11
123,1880,129,11
46,1883,129,11
21,2194,129,11
22,2195,129,11
46,2204,129,11
60,2308,129,11
108,2318,129,11
42,2337,129,11
42,2372,129,11
1,2831,129,11
23,2993,129,11
23,2994,129,11
61,2999,129,11
206,3023,129,11
55,1878,130,11
21,1924,130,11
116,1947,130,11
4,2236,130,11
9,2314,130,11
112,2353,130,11
10,2707,130,11
52,2729,130,11
32,2729,130,11
139,2738,130,11
29,3029,130,11
48,3030,130,11
1,3245,130,11
46,2041,131,11
114,2559,131,11
53,2559,131,11
21,2843,131,11
17,2844,131,11
32,3005,131,11
162,3006,131,11
210,3006,131,11
46,3258,131,11
46,1916,132,11
3,1925,132,11
4,1925,132,11
127,1926,132,11
19,1926,132,11
46,2155,132,11
55,2288,132,11
9,2550,132,11
4,2566,132,11
112,2839,132,11
5,3057,132,11
56,3242,132,11
69,3242,132,11
57,3242,132,11
17,1854,0,12
143,1930,0,12
46,1930,0,12
46,2065,0,12
46,2287,0,12
46,2406,0,12
46,2600,0,12
51,2622,0,12
7,2810,0,12
7,2819,0,12
135,2830,0,12
46,2978,0,12
46,3206,0,12
54,3281,0,12
208,3291,0,12
46,3397,0,12
46,3398,0,12
29,3659,0,12
48,3659,0,12
29,1947,1,12
48,1947,1,12
51,2307,1,12
21,2842,1,12
8,2843,1,12
116,2843,1,12
7,3888,1,12
1,2233,2,12
46,2348,2,12
46,2596,2,12
30,2977,2,12
46,3535,2,12
43,3537,2,12
38,3747,2,12
23,3875,2,12
17,3875,2,12
106,3875,2,12
193,3875,2,12
194,3875,2,12
24,1934,3,12
46,2043,3,12
46,2069,3,12
57,2069,3,12
188,2108,3,12
30,2269,3,12
46,2522,3,12
42,2616,3,12
46,2747,3,12
58,3329,3,12
96,3342,3,12
30,3623,3,12
27,3906,3,12
16,3907,3,12
94,3907,3,12
26,3908,3,12
46,1801,4,12
60,1985,4,12
46,2098,4,12
29,2380,4,12
48,2381,4,12
23,2956,4,12
21,2956,4,12
108,2956,4,12
22,2956,4,12
21,3150,4,12
8,3150,4,12
116,3150,4,12
40,3282,4,12
